,COMPOUND,YEAR,stateFIPS,COUNTY_CODE,LOW_ESTIMATE,HIGH_ESTIMATE,county,STATE,incidence_rate_per_100k,avg_annual_count,recent_trend,five_year_incidence_change_rate,incidence_rate_per_100k_low_95,incidence_rate_per_100k_high_95,five_year_incidence_change_rate_low_95,five_year_incidence_change_rate_high_95
149,Glyphosate,2015,4,13,40542.0,47599.6,Maricopa County,AZ,395.0 ,"17,319",stable,-1.1 ,392.4,397.7,-2.9,0.7
150,Glyphosate,2014,4,15,18831.7,18832.6,Mohave County,AZ,443.1 ,"1,585",stable,-2.9 ,432.4,454.0,-6.5,0.9
151,Glyphosate,2015,4,15,3936.5,4493.3,Mohave County,AZ,443.1 ,"1,585",stable,-2.9 ,432.4,454.0,-6.5,0.9
152,Glyphosate,2014,4,17,3294.2,3302.8,Navajo County,AZ,333.2 ,411,stable,-2.9 ,318.5,348.5,-9.0,3.6
153,Glyphosate,2015,4,17,500.1,614.8,Navajo County,AZ,333.2 ,411,stable,-2.9 ,318.5,348.5,-9.0,3.6
154,Glyphosate,2014,4,19,13325.0,13357.2,Pima County,AZ,385.3 ,"4,853",stable,-0.4 ,380.3,390.3,-3.3,2.6
155,Glyphosate,2015,4,19,9322.6,9514.4,Pima County,AZ,385.3 ,"4,853",stable,-0.4 ,380.3,390.3,-3.3,2.6
156,Glyphosate,2014,4,21,103745.2,104096.2,Pinal County,AZ,357.9 ,"1,763",stable,-2.0 ,350.1,365.7,-6.2,2.4
157,Glyphosate,2015,4,21,78136.0,82633.3,Pinal County,AZ,357.9 ,"1,763",stable,-2.0 ,350.1,365.7,-6.2,2.4
158,Glyphosate,2014,4,23,224.5,226.9,Santa Cruz County,AZ,304.5 ,166,stable,2.0 ,283.7,326.5,-4.4,8.9
159,Glyphosate,2015,4,23,173.6,224.4,Santa Cruz County,AZ,304.5 ,166,stable,2.0 ,283.7,326.5,-4.4,8.9
160,Glyphosate,2014,4,25,1783.6,1796.6,Yavapai County,AZ,397.6 ,"1,578",stable,0.4 ,387.9,407.6,-7.1,8.6
161,Glyphosate,2015,4,25,812.2,888.7,Yavapai County,AZ,397.6 ,"1,578",stable,0.4 ,387.9,407.6,-7.1,8.6
162,Glyphosate,2014,4,27,24626.4,25356.1,Yuma County,AZ,347.9 ,831,stable,1.5 ,337.1,358.9,-2.0,5.2
163,Glyphosate,2015,4,27,34471.4,36905.4,Yuma County,AZ,347.9 ,831,stable,1.5 ,337.1,358.9,-2.0,5.2
